,pair,residuals,beta
41,"('AEE', 'JKHY')","0      -12.841998
1      -12.117223
2      -12.887564
3      -11.360808
4      -10.999857
          ...    
2511   -25.932677
2512   -29.024715
2513   -28.638153
2514   -32.299323
2515   -30.581558
Length: 2516, dtype: float64","const    3.189981
AEE      2.089519
dtype: float64"
42,"('AEP', 'LHX')","0      -11.102901
1       -9.514167
2      -11.558402
3       -8.832931
4       -7.564865
          ...    
2511   -40.441942
2512   -42.833193
2513   -40.224517
2514   -46.738024
2515   -54.159288
Length: 2516, dtype: float64","const   -58.489051
AEP       3.161254
dtype: float64"
43,"('AFL', 'JNPR')","0      -1.058857
1      -1.265147
2      -1.316272
3      -1.217371
4      -0.968432
          ...   
2511   -3.370067
2512   -3.488221
2513   -2.439552
2514   -2.129669
2515   -1.081238
Length: 2516, dtype: float64","const    13.893753
AFL       0.226637
dtype: float64"
44,"('AIZ', 'QCOM')","0       19.768206
1       20.763408
2       22.943424
3       22.696828
4       22.731027
          ...    
2511   -22.013331
2512   -22.696695
2513   -19.649732
2514   -19.525818
2515   -25.541628
Length: 2516, dtype: float64","const   -25.672374
AIZ       1.029039
dtype: float64"
45,"('AIZ', 'STX')","0       18.913494
1       19.428523
2       19.209907
3       19.467386
4       19.635462
          ...    
2511   -11.056862
2512   -12.851413
2513   -11.687818
2514   -12.226222
2515   -10.296047
Length: 2516, dtype: float64","const   -11.921142
AIZ       0.556640
dtype: float64"
46,"('AJG', 'PARA')","0      -0.170696
1      -0.195754
2       0.031112
3      -0.097875
4       0.787402
          ...   
2511    5.898036
2512    6.877421
2513    7.572341
2514    8.135682
2515    8.309719
Length: 2516, dtype: float64","const    52.457108
AJG      -0.157296
dtype: float64"
47,"('ALGN', 'KMX')","0       10.889660
1       10.972428
2       12.005215
3       12.297951
4       12.733536
          ...    
2511    12.187586
2512    11.186074
2513    11.225678
2514    10.760668
2515    12.984879
Length: 2516, dtype: float64","const    46.913467
ALGN      0.121122
dtype: float64"
48,"('ALGN', 'ZBH')","0       3.950745
1       2.684713
2       4.693090
3       4.536233
4       5.549920
          ...   
2511   -2.896632
2512   -3.972493
2513   -4.253092
2514   -3.922567
2515   -8.268232
Length: 2516, dtype: float64","const    96.117239
ALGN      0.074207
dtype: float64"
49,"('ALL', 'PEG')","0      -4.458289
1      -4.407069
2      -3.935211
3      -4.886446
4      -5.224033
          ...   
2511   -1.179929
2512   -1.116186
2513   -0.762038
2514   -0.879767
2515   -0.469647
Length: 2516, dtype: float64","const    11.227807
ALL       0.382115
dtype: float64"
50,"('ALL', 'PKG')","0      -0.408786
1       0.243152
2       1.286865
3       0.415518
4       1.386643
          ...   
2511   -5.987386
2512   -6.951546
2513   -6.272747
2514   -9.105287
2515   -5.697809
Length: 2516, dtype: float64","const   -9.861146
ALL      1.188107
dtype: float64"
51,"('AMAT', 'LEN')","0       5.929001
1       6.693359
2       7.096101
3       6.923417
4       7.941541
          ...   
2511   -3.040145
2512   -7.132550
2513   -4.884283
2514   -6.987845
2515   -8.978736
Length: 2516, dtype: float64","const    22.859251
AMAT      0.617804
dtype: float64"
52,"('AMAT', 'MLM')","0      -46.452687
1      -43.942652
2      -28.755920
3      -26.088464
4      -24.020842
          ...    
2511    39.536627
2512    34.771916
2513    36.649171
2514    34.673648
2515    33.290658
Length: 2516, dtype: float64","const    108.364190
AMAT       2.196946
dtype: float64"
